wconfid,pctid,x,y,z,mag
1,20,1.004,0.09,-0.125,1.015746523
1,20,1.004,-0.043,-0.125,1.012664801
1,20,0.969,0.09,-0.121,0.980664061
1,20,0.973,-0.012,-0.137,0.98267085
1,20,1,-0.016,-0.121,1.007420965
1,20,0.961,0.082,-0.121,0.972052468
1,20,0.973,-0.055,-0.109,0.9806299
1,20,1,0.012,-0.133,1.008877099
1,20,0.969,-0.102,-0.141,0.98450292
1,20,0.973,-0.059,-0.125,0.982769047
1,20,1.012,0.043,-0.133,1.021607557
1,20,0.996,-0.109,-0.148,1.012818345
1,20,0.988,-0.02,-0.125,0.996076804
1,20,1.012,0.043,-0.129,1.021094511
1,20,0.996,-0.09,-0.152,1.011543375
1,20,0.965,-0.102,-0.117,0.977403704
1,20,1.004,0.055,-0.121,1.012759596
1,20,0.988,-0.059,-0.141,0.999752969
1,20,0.969,-0.086,-0.117,0.979819371
1,20,1.039,0.094,-0.117,1.049783787
1,20,0.984,0.113,-0.148,1.001463429
1,20,1.008,0.012,-0.141,1.017884571
1,20,0.996,0.035,-0.141,1.006539617
1,20,0.988,-0.066,-0.125,0.998060619
1,20,0.965,-0.156,-0.113,0.984037601
1,20,0.992,0.059,-0.129,1.002090814
1,20,0.992,-0.031,-0.125,1.000324947
1,20,0.973,-0.133,-0.148,0.993137453
1,20,1.031,0.102,-0.145,1.046130967
1,20,0.984,-0.035,-0.125,0.992525063
1,20,0.984,-0.004,-0.137,0.993499371
1,20,1,0.098,-0.125,1.012535925
1,20,1.031,-0.012,-0.129,1.039108272
1,20,0.965,-0.148,-0.152,0.988045039
1,20,1.012,0.102,-0.129,1.025275085
1,20,1.008,-0.008,-0.133,1.016767918
1,20,0.965,-0.129,-0.164,0.98730036
1,20,1.004,0.145,-0.121,1.021607557
1,20,1.008,0.004,-0.121,1.015244306
1,20,0.984,0.027,-0.121,0.991779209
1,20,1.031,0.07,-0.117,1.039975961
1,20,0.977,-0.051,-0.152,0.990067674
1,20,0.98,-0.094,-0.117,0.991425741
1,20,1.02,0.082,-0.125,1.030897182
1,20,0.98,-0.012,-0.137,0.989602445
1,20,0.977,-0.09,-0.125,0.989067237
1,20,1.023,0.109,-0.109,1.034548694
1,20,0.992,0.008,-0.137,1.001447452
1,20,1.004,0.004,-0.133,1.01277885
1,20,0.996,0.078,-0.133,1.007863582
1,20,1,-0.039,-0.125,1.008536564
1,20,0.965,0.113,-0.117,0.978612794
1,20,0.973,-0.027,-0.117,0.980381048
1,20,1.008,-0.02,-0.121,1.015433405
1,20,0.965,0.09,-0.121,0.976711831
1,20,0.957,-0.047,-0.113,0.96479376
1,20,1.012,-0.004,-0.125,1.019698485
1,20,0.969,-0.051,-0.133,0.9794136
1,20,1,0.121,-0.125,1.015020197
1,20,1.016,0.023,-0.121,1.023438323
1,20,0.988,-0.121,-0.156,1.007532133
1,20,0.992,-0.035,-0.137,1.002026946
1,20,1,0.039,-0.125,1.008536564
1,20,0.992,-0.094,-0.156,1.008581182
1,20,0.969,-0.086,-0.129,0.981324615
1,20,1,0.051,-0.121,1.008584156
1,20,0.984,0.082,-0.148,0.998440784
1,20,1.031,0.102,-0.121,1.043075261
1,20,0.996,0,-0.145,1.006499379
1,20,0.973,-0.09,-0.125,0.985116237
1,20,0.961,-0.023,-0.133,0.970432378
1,20,0.988,0.023,-0.137,0.997718397
1,20,0.984,-0.082,-0.121,0.994796964
